index;included;reason;reason_other;search query;name;full_name;description;fork;html_url
29;false;update_gt_3y;REASON_OTHER;pipeline framework language:python@page2;dyda;numbersprotocol/dyda;Dynamic data pipeline framework;false;https://github.com/numbersprotocol/dyda
30;false;too_specific;REASON_OTHER;pipeline framework language:python@page2;Pipeline.py;KOLANICH-libs/Pipeline.py;A framework to build pipelines;false;https://github.com/KOLANICH-libs/Pipeline.py
36;false;too_specific;unclear;pipeline framework language:python@page2;deba;pckhoi/deba;Environment-agnostic data pipeline framework;false;https://github.com/pckhoi/deba
42;false;update_gt_3y;REASON_OTHER;pipeline framework language:python@page2;snowflet;bluefloyd00/snowflet;Snowflake pipeline, etl, data science framework;false;https://github.com/bluefloyd00/snowflet
44;false;qs_issues;REASON_OTHER;pipeline framework language:python@page2;DataPipelines;DragosManailoiu/DataPipelines;scripts to automate the ETL/ELT process using cloud and orchestration frameworks;false;https://github.com/DragosManailoiu/DataPipelines
55;false;update_gt_3y;REASON_OTHER;pipeline framework language:python@page2;ETLite;elau1004/ETLite;A lightweight framework to host your ETL data-pipeline;false;https://github.com/elau1004/ETLite
65;false;update_gt_3y;REASON_OTHER;pipeline framework language:python@page2;betl;brianspurling/betl;A Kimball ETL (Extract, Transform, Load) framework for building robust data pipelines in Python;false;https://github.com/brianspurling/betl
127;false;update_gt_3y;REASON_OTHER;pipeline data science language:python;datanectar;wesmadrigal/datanectar;A project for streamlining large scale ETL and data science pipelines.;false;https://github.com/wesmadrigal/datanectar
134;false;update_gt_3y;REASON_OTHER;pipeline data science language:python;data_science_pipeline;nickruta/data_science_pipeline;This project demonstrates all of the technologies needed to create an end-to-end data science pipeline. This includes consuming data from an original source, processing and storing it and finally providing machine-learning based results to end users.;false;https://github.com/nickruta/data_science_pipeline
137;false;too_specific;no_documentation;pipeline data science language:python;Science_report;TuanLe-BenKon/Science_report;Repo of online data pipeline and dashboard;false;https://github.com/TuanLe-BenKon/Science_report
138;false;update_gt_3y;REASON_OTHER;pipeline data science language:python;DSND_Data_Pipeline;hendrik-sill/DSND_Data_Pipeline;Data Science Nanodegree ETL and Machine Learning Pipeline Project;false;https://github.com/hendrik-sill/DSND_Data_Pipeline
141;false;not_d_p_f;REASON_OTHER;pipeline data science language:python;AutomaticDataScience;bilan604/AutomaticDataScience;Automating the entire data science pipeline from loading the data to comparing trained model performance metrics;false;https://github.com/bilan604/AutomaticDataScience
142;false;duplicate;REASON_OTHER;pipeline data science language:python;snowflet;bluefloyd00/snowflet;Snowflake pipeline, etl, data science framework;false;https://github.com/bluefloyd00/snowflet
144;false;too_specific;ML;pipeline data science language:python;data-science-modeling-framework;msarafzadeh/data-science-modeling-framework;Data Science frame work created to assist the modeling pipeline: from EDA, to model training, to best model selection, to threshold optimization, to model explainabilty.;false;https://github.com/msarafzadeh/data-science-modeling-framework
145;false;not_d_p_f;REASON_OTHER;pipeline data science language:python;Disaster-Response-pipeline-Project;AyaAbulnasr/Disaster-Response-pipeline-Project;Using Data Science with Machine Learning techniques (ETL pipeline and ML pipeline) to classify received messages after disasters.;false;https://github.com/AyaAbulnasr/Disaster-Response-pipeline-Project
149;false;too_specific;ML;pipeline data science language:python;fika;karthikraja95/fika;Automate Data Science Workflow from Exploratory Data Analysis to Model Deployment;false;https://github.com/karthikraja95/fika
154;false;too_specific;AR;pipeline data science language:python;21_DS_Branch;1337-Artificial-Intelligence/21_DS_Branch;The piscine focuses on basic programming skills with Python and the most popular and useful data science libraries. The participants will be able to collect data with parsing, preprocess data using Pandas and SQL and build pipelines with machine learning algorithms.;false;https://github.com/1337-Artificial-Intelligence/21_DS_Branch
160;false;duplicate;REASON_OTHER;modular data pipeline language:python;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
161;false;update_gt_3y;seems_professional;modular data pipeline language:python;MERlin;emanuega/MERlin;MERlin is an extensible analysis pipeline applied to decoding MERFISH data;false;https://github.com/emanuega/MERlin
162;false;too_specific;REASON_OTHER;modular data pipeline language:python;automation;phytooracle/automation;Modular, Scalable Phenomic Data Processing Pipelines;false;https://github.com/phytooracle/automation
163;false;too_specific;REASON_OTHER;modular data pipeline language:python;MONSDA;jfallmann/MONSDA;MONSDA, Modular Organizer of Nextflow and Snakemake driven hts Data Analysis;false;https://github.com/jfallmann/MONSDA
168;false;too_specific;REASON_OTHER;modular data pipeline language:python;ralsei-py;snorkysnark/ralsei-py;Build modular data pipelines running inside the postgres database;false;https://github.com/snorkysnark/ralsei-py
169;false;too_specific;REASON_OTHER;modular data pipeline language:python;End-to-end-ML-System-Benchmark;hpides/End-to-end-ML-System-Benchmark;A modular suite for benchmarking all stages of Machine Learning pipelines. To find bottlenecks in such pipelines and compare different ML tools, this framework can calculate and visualize several metrics in the data preparation, model training, model validation and inference stages.;false;https://github.com/hpides/End-to-end-ML-System-Benchmark
173;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;udacity-data-eng-proj3;shravan-kuchkula/udacity-data-eng-proj3;Built a stream processing data pipeline to get data from disparate systems into a dashboard using Kafka as an intermediary. ;false;https://github.com/shravan-kuchkula/udacity-data-eng-proj3
177;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;youtube_data_analysis;Nupurgopali/youtube_data_analysis;Created an optimised pipeline to provide accurate data for analysis, then used snowsight (provided by Snowflake) to create a dashboard.;false;https://github.com/Nupurgopali/youtube_data_analysis
178;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;Prescriber-ETL-data-pipeline;judeleonard/Prescriber-ETL-data-pipeline;An End-to-End ETL data pipeline that leverages pyspark parallel processing to process about 25 million rows of data coming from a SaaS application using Apache Airflow as an orchestration tool and various data warehouse technologies and finally using Apache Superset to connect to DWH for generating BI dashboards for weekly reports ;false;https://github.com/judeleonard/Prescriber-ETL-data-pipeline
190;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform;manyuzhang1996/NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform;Deploying ETL pipeline on cloud, analyzing on BigQuery, dashboarding on Looker Studio;false;https://github.com/manyuzhang1996/NYC-Uber-Data-Engineering-Project-with-Google-Cloud-Platform
191;false;duplicate;ID_37;pipeline data dashboard language:python;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
193;false;no_documentation;REASON_OTHER;pipeline data dashboard language:python;Science_report;TuanLe-BenKon/Science_report;Repo of online data pipeline and dashboard;false;https://github.com/TuanLe-BenKon/Science_report
195;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;Marketing-Dashboard;Patcharanat/Marketing-Dashboard;Tools integration - Python data pipeline, SQLite database, Power BI Dashboard;false;https://github.com/Patcharanat/Marketing-Dashboard
196;false;not_d_p;REASON_OTHER;pipeline data dashboard language:python;LiveCryptocurrencyDashboard;edoardorealini/LiveCryptocurrencyDashboard;A full Big Data pipeline implemplement in Scala and Python for generating live predictions of crypos prices. Technologies: Python, Scala, Kafka, FB's Prophet, Cassandra and Plotly for final visualization. ;false;https://github.com/edoardorealini/LiveCryptocurrencyDashboard
206;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;Data-Streaming-Using-Kafka;ruslanmv/Data-Streaming-Using-Kafka;Built a stream processing data pipeline to get data from disparate systems into a dashboard using Kafka as an intermediary.;false;https://github.com/ruslanmv/Data-Streaming-Using-Kafka
209;false;too_specific;REASON_OTHER;pipeline data dashboard language:python;Yelp-Data-Engineeering;Ezuniga13/Yelp-Data-Engineeering;Fully automated data pipeline using Python, Yelp API's, AWS RDS, s3 buckets, Docker and Streamlit to create a 3D interactive dashboard.;false;https://github.com/Ezuniga13/Yelp-Data-Engineeering
213;false;duplicate;REASON_OTHER;modular data pipeline;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
214;false;duplicate;REASON_OTHER;modular data pipeline;kedro;kedro-org/kedro;Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.;false;https://github.com/kedro-org/kedro
217;false;duplicate;REASON_OTHER;modular data pipeline;automation;phytooracle/automation;Modular, Scalable Phenomic Data Processing Pipelines;false;https://github.com/phytooracle/automation
237;false;too_specific;ML;pipeline framework language:python;fuel;mila-iqia/fuel;A data pipeline framework for machine learning;false;https://github.com/mila-iqia/fuel
242;false;duplicate;REASON_OTHER;pipeline framework language:python;datapackage-pipelines;frictionlessdata/datapackage-pipelines;Framework for processing data packages in pipelines of modular components.;false;https://github.com/frictionlessdata/datapackage-pipelines
243;false;too_specific;REASON_OTHER;pipeline framework language:python;Niffler;Emory-HITI/Niffler;Niffler: A DICOM Framework for Machine Learning and Processing Pipelines.;false;https://github.com/Emory-HITI/Niffler
266;false;update_gt_3y;REASON_OTHER;pipeline framework language:python;xp;druths/xp;A framework (comand line tool + libraries) for creating flexible compute pipelines;false;https://github.com/druths/xp
294;false;qs_issues;REASON_OTHER;pipeline framework language:python;sparklanes;ksbg/sparklanes;A lightweight data processing framework for Apache Spark;false;https://github.com/ksbg/sparklanes
300;false;too_specific;REASON_OTHER;pipeline framework language:python;spark_etl;stonezhong/spark_etl;Generic ETL Pipeline Framework for Apache Spark;false;https://github.com/stonezhong/spark_etl
308;false;qs_issues;REASON_OTHER;pipeline framework language:python;batchout;ilia-khaustov/batchout;Framework for building data pipelines;false;https://github.com/ilia-khaustov/batchout
309;false;duplicate;REASON_OTHER;pipeline framework language:python;villard;ariaghora/villard;A pipeline framework for data science projects;false;https://github.com/ariaghora/villard
322;false;qs_issues;REASON_OTHER;pipeline framework language:python;pypeliner;allonios/pypeliner;a lightweight python framework for creating processing pipelines.;false;https://github.com/allonios/pypeliner
325;false;too_specific;also_update_gt_3y;pipeline framework language:python;dataframe-pipeline;IBM/dataframe-pipeline;Machine-learning pipeline framework for pandas and ONNX;false;https://github.com/IBM/dataframe-pipeline
330;false;update_gt_3y;REASON_OTHER;pipeline framework language:python;reliure;kodexlab/reliure;Minimal framework to manage data processing pipelines;false;https://github.com/kodexlab/reliure
332;false;update_gt_3y;REASON_OTHER;pipeline framework language:python;edgepipes;joakimeriksson/edgepipes;A small python framework for edge computing pipeline processing (Edge ML/AI);false;https://github.com/joakimeriksson/edgepipes
338;false;too_specific;REASON_OTHER;pipeline dashboard framework;dendro;dendro-monitoring/dendro;Dendro is an open-source, serverless monitoring framework for small, distributed applications. Stream logs and metrics from your various servers to a central time-series store, then explore using our default dashboards and set up alerting!;false;https://github.com/dendro-monitoring/dendro
339;false;duplicate;REASON_OTHER;pipeline dashboard framework;data-pipeline-demo-1;AlexandreGarito/data-pipeline-demo-1;This project is a Python-coded and GCP-hosted micro-ETL data pipeline and interactive dashboard that displays API data using the Dash-Plotly web framework, updated daily using DevOps tools such as CI/CD, Docker, and Airflow.;false;https://github.com/AlexandreGarito/data-pipeline-demo-1
